judul,judul_slug,author,penerbit,isbn,bahasa,jumlah_halaman,isBestSeller,original_rating,adjusted_rating,rating_count,review_count,kategori
Persembunyian Black Bill,persembunyian-black-bill,O. Henry,Laksana,9786233271974,Indonesia,168,1,2.0,2,1,,novel
Boneka Dan Cerita-Cerita Yang Hilang,boneka-dan-cerita-cerita-yang-hilang,Daphne Du Maurier,Penerbit Noktah,9786236564851,Indonesia,128,1,3.69,4,2732,,novel
Sherlock Holmes Misteri Di Wisma Wisteria,sherlock-holmes-misteri-di-wisma-wisteria,Sir Arthur Conan Doyle,Penerbit Noktah,9786237465577,Indonesia,144,0,3.88,4,2769,,novel
Cupiderman 4G,cupiderman-4g,S. Gegge Mappangewa,Sabda Mallomo,9786239177300,Indonesia,184,0,4.0,4,1,,novel
TeenLit: Melodi Terakhir,teenlit-melodi-terakhir,Luna Torashyngu,Gramedia Pustaka Utama,9786020386133,Indonesia,224,0,3.21,3,19,3.0,novel
Aku Lupa Bahwa Aku Perempuan,aku-lupa-bahwa-aku-perempuan,Ihsan Abdul Quddus,Alvabet,9786029193169,Indonesia,228,0,3.7,4,165,,novel
Mahakarya Tak Dikenal,mahakarya-tak-dikenal,Honore De Balzac,DivaPress,9786023918966,Indonesia,140,0,3.83,4,4633,,novel
Disforia Inersia,disforia-inersia,Wira Nagara,MEDIA KITA,9789797945756,Indonesia,144,0,4.12,4,405,,novel
Separuh Hati Yang Pergi,separuh-hati-yang-pergi,Mimie Sarah,Wahyuqolbu,9786026358653,Indonesia,246,0,2.67,3,3,,novel
Manuskrip yang Ditemukan di Accra (Manuscrito Encontrado Em Accra),manuskrip-yang-ditemukan-di-accra-manuscrito-encontrado-em-accra,Paulo Coelho,Gramedia Pustaka Utama,9786020302799,Indonesia,None,0,3.81,4,28301,,fiksi_sastra
Cermin Tak Pernah Berdusta,cermin-tak-pernah-berdusta,Mira W,Gramedia Pustaka Utama,9786020621036,Indonesia,176,0,3.17,3,42,13.0,novel
Koplak,koplak,Oka Rusmini,Gramedia Widiasarana Indonesia,9786020520216,Indonesia,192,0,3.09,3,46,10.0,novel
The Cursed Hand,the-cursed-hand,Sinta Susanti,Bhuana Ilmu Populer,9786024832872,Indonesia,160,0,3.1,3,20,,novel
Karavansara,karavansara,Rio Johan,Gramedia Pustaka Utama,9786020660691,Indonesia,52,1,4.12,4,24,11.0,sastra_indonesia
Perempuan Laut,perempuan-laut,Usman Arrumy,Diva Press,9786232936522,Indonesia,152,0,5.0,5,1,,novel
BSD Jula-Juli Cinta Mini,bsd-jula-juli-cinta-mini,Budi Maryono,Gramedia Pustaka Utama,9786020353395,Indonesia,200,0,3.88,4,8,,romance
BSD Autumn Once More . Metropop,bsd-autumn-once-more-metropop,Ilana Tan;Ilana Tan; Dkk,Gramedia Pustaka Utama,9789792294712,Indonesia,120,0,3.73,4,2526,258.0,novel
The Diamond Master,the-diamond-master,Jacques Futrelle,Laksana,9786233271080,Indonesia,148,0,3.46,3,139,,novel
Daun Terakhir,daun-terakhir,O. Henry,Divapress,9786023918928,Indonesia,156,0,4.26,4,4050,,novel
Gunung Kelima (The Fifth Mountain),gunung-kelima-the-fifth-mountain-cover-baru,Paulo Coelho,Gramedia Pustaka Utama,9789792298383,Indonesia,319,0,3.63,4,41893,,fiksi_sastra
Sketch Of Love,sketch-of-love,Amelia,Bhuana Ilmu Populer,9786232162259,Indonesia,196,0,3.0,3,1,,novel
Seminar Mengatasi Keluhan Pelanggan,seminar-mengatasi-keluhan-pelanggan,Bamby Cahyadi,Diva Press,9786232936324,Indonesia,168,0,4.14,4,7,5.0,novel
Jungkir Balik Dunia Bankir,jungkir-balik-dunia-bankir,Haryadi Yansyah,Laksana,9786024072995,Indonesia,220,0,4.04,4,24,,fiksi_sastra
Muazin Pertama Di Luar Angkasa,muazin-pertama-di-luar-angkasa,Kiki Sulistyo,Diva Press,9786232935808,Indonesia,140,0,4.33,4,3,1.0,novel
TeenLit: Mamimoma,teenlit-mamimoma,Rosemary Kesauly,Gramedia Pustaka Utama,9786020387437,Indonesia,240,0,3.11,3,235,,novel
Aleph,aleph,Paulo Coelho,Gramedia Pustaka Utama,9789792296372,Indonesia,312,0,3.38,3,35669,,fiksi_sastra
HQ Blush: The Rebel and The Heiress,conf-hq-blush-the-rebel-and-the-heiress,Michelle Douglas,Elex Media Komputindo,9786020256764,Indonesia,285,0,3.73,4,62,,novel
HQ Blush: His Until Midnight,conf-hq-blush-his-until-midnight,Nikki Logan,Elex Media Komputindo,9786020258898,Indonesia,294,0,3.53,4,198,,novel
Seandainya Aku Boleh Memilih,seandainya-aku-boleh-memilih-cover-baru-2018,Mira W,Gramedia Pustaka Utama,9786020398938,Indonesia,208,0,3.76,4,403,,novel
40 Days In Europe,40-days-in-europe-new,-;Maulana M. Syuhada,Mizan,9786022910831,Indonesia,498,0,3.68,4,401,,fiksi_sastra
Ma Chère Ville Lumière,ma-chere-ville-lumiere,Fira Basuki,Gramedia Widiasarana Indonesia,9786020511702,Indonesia,144,0,3.33,3,18,6.0,romance
BTOB : The Biggest Mood Ever,btob-the-biggest-mood-ever,Diviana90;Annisa,Aria Media Mandiri,9786025921117,Indonesia,127,0,4.0,4,2,,novel
Coffee House No.53,coffee-house-no53,Elmira Arasy,Andi Offset,9786025373015,Indonesia,216,0,5.0,5,1,,novel
Mengapa Tuhan Menciptakan Kucing Hitam,mengapa-tuhan-menciptakan-kucing-hitam,Sasti Gotama,Diva Press,9786232931008,Indonesia,144,1,3.72,4,29,,novel
Saat Hati Telah Memilih,saat-hati-telah-memilih,Mira Widjaja (Mira W.),Gramedia Pustaka Utama,9786020620053,Indonesia,200,0,3.71,4,2600,,novel
Diponegoro & Perang Jawa,diponegoro-perang-jawa,Ms Ardison,Ecosystem Publishing,9786021527023,Indonesia,164,0,3.0,3,3,,fiksi_sejarah
Serayu Malam,serayu-malam,Muhamad Wahyudi,Kepustakaan Populer Gramedia,9786024810368,Indonesia,200,0,4.04,4,55,,novel
Three Act Tragedy (Tragedi Tiga Babak),three-act-tragedy-tragedi-tiga-babak,Agatha Christie,Gramedia Pustaka Utama,9789792229714,Indonesia,288,0,3.84,4,31811,,
Manusia Setengah Salmon,manusia-setengah-salmon,Raditya Dika,Gagasmedia,9789797805319,Indonesia,258,0,3.74,4,5227,,fiksi_sastra
Petualangan 1001 Kisah Aladdin Alibaba Sinbad,petualangan-1001-kisah-aladdin-alibaba-sinbad,Gamal Komandoko,Cakrawala,9789794051122,Indonesia,266,0,4.0,4,1,,fiksi_sastra
Pingkan Melipat Jarak (Novel Kedua Trilogi Hujan Bulan Juni),pingkan-melipat-jarak-novel-kedua-trilogi-hujan-bulan-juni,Sapardi Djoko Damono,Gramedia Pustaka Utama,9786020339757,Indonesia,131,0,3.73,4,484,97.0,novel
Holiday With A Stranger,conf-holiday-with-a-stranger,Christy Mckellen;Christy Mckellen,Elex Media Komputindo,9786020256368,Indonesia,312,0,3.57,4,184,,novel
The Last Honest Woman - Kejujuran Abby,kejujuran-abby-the-last-honest-woman,Nora Roberts,Gramedia Pustaka Utama,9786020318820,Indonesia,304,0,3.97,4,5885,,romance
Hafalan Shalat Delisa,hafalan-shalat-delisa,Tere Liye,Penerbit Republika,9789793210605,Indonesia,266,1,4.25,4,9710,,novel
Morbid Melodies - Kumpulan cerita pendek,morbid-melodies-kumpulan-cerita-pendek,Poppy D. Chusfani,Gramedia Pustaka Utama,9786020663692,Indonesia,176,0,3.85,4,13,6.0,cerpen
Listerdale Mystery (Misteri Listerdale),listerdale-mystery-misteri-listerdale,Agatha Christie,Gramedia Pustaka Utama,9789792233513,Indonesia,304,0,3.55,4,4407,,novel
Temperatures Rising (Hasrat Membara),temperature-risinghasrat-membara,Sandra Brown,Gramedia Pustaka Utama,9786020301426,Indonesia,256,0,3.45,3,2574,,novel
Risara : Sara Wjayanto Dan Risa Saraswati,risara-sara-wjayanto-dan-risa-saraswati,Risa Saraswati;Sara Wijayanto,Rak Buku,9786027114029,Indonesia,162,0,3.81,4,268,24.0,fiksi_sastra
Jane ; Tragedi Berdarah Kosan Bu Diana,jane-tragedi-berdarah-kosan-bu-diana,Nurashinichi,Scritto Books Publisher,9786025011139,Indonesia,254,0,2.0,2,7,,horor,novel
BSD Laiqa: Cintaku Itu Kamu, Halalku,bsd-laiqa-cintaku-itu-kamu-halalku,Merry Maeta Sari,Elex Media Komputindo,9786020411828,Indonesia,228,0,3.79,4,47,,novel
Lit: Moon And Her Sky,lit-moon-and-her-sky,Kansa Airlangga,Elex Media Komputindo,9786230010804,Indonesia,192,1,2.88,3,26,,romance
Catatan Harian Sang Pembunuh (Diary Of A Murderer),catatan-harian-sang-pembunuh-diary-of-a-murderer,Kim Young-Ha,Gramedia Pustaka Utama,9786020639550,Indonesia,160,1,3.76,4,4626,,novel,thriller
Classics: Greyfriars Bobby,classics-greyfriars-bobby,Eleanor Atkinson,Gramedia Pustaka Utama,9789792260441,Indonesia,224,1,3.97,4,1260,,klasik,novel
Pelangi dan Hujan: Antara Kenangan dan Angan - Angan,pelangi-dan-hujan-antara-kenangan-dan-angan-angan,Orina Fazrina,Gramedia Widiasarana Indonesia,9786020521916,Indonesia,158,1,3.57,4,7,0.0,romance
The Jungle Book: Mowgli Anak Rimba,the-jungle-book-mowgli-anak-rimba,Rudyard Kipling,Gramedia Pustaka Utama,9786020328294,Indonesia,224,0,3.91,4,115265,,klasik
Pembunuhan di Teluk Pixy (Evil Under The Sun),pembunuhan-di-teluk-pixy-evil-under-the-sun,Agatha Christie,Gramedia Pustaka Utama,9789792232691,Indonesia,312,0,3.98,4,63574,,novel
Layla Majnun,layla-majnun-2,Syekh Nizami,BUKUBIJAK,9786239447601,Indonesia,226,0,3.17,3,12,,novel
Memeluk Ketidaksempurnaan,memeluk-ketidaksempurnaan,Falafu,Mediakita,9789797946081,Indonesia,168,1,5.0,5,1,,novel
Kita Semua Pernah Sedih,kita-semua-pernah-sedih,Boy Candra,Media Kita,9789797946302,Indonesia,108,1,4.25,4,8,,novel
Around The World In Eighty Days,around-the-world-in-eighty-days,Jules Verne,Narasi,9789791685221,Indonesia,352,0,3.87,4,30,,fiksi_sastra
Mata yang Enak Dipandang,mata-yang-enak-dipandang-cover-baru,Ahmad Tohari,Gramedia Pustaka Utama,9786020300597,Indonesia,216,1,4.06,4,53,,novel
Kubah,kubah-cover-baru-1,Ahmad Tohari,Gramedia Pustaka Utama,9789792287745,Indonesia,216,1,3.81,4,954,,novel
Fahrenheit 451,fahrenheit-451-cover-baru-2018,Ray Bradbury,Gramedia Pustaka Utama,9786020617985,Indonesia,208,0,3.98,4,2107941,,novel
Not After Midnight,not-after-midnight,Dephne Du Maurier,Penerbit Noktah,9786237465966,Indonesia,240,0,3.83,4,7369,,cerpen
Dentang Ketiga Belas,dentang-ketiga-belas,Maya Lestari Gf,Laksana,9786024077426,Indonesia,172,0,3.0,3,1,,novel
Para Bajingan Yang Menyenangkan,para-bajingan-yang-menyenangkan-1,Puthut Ea,Buku Mojok,9786237284185,Indonesia,184,0,3.91,4,407,,novel
Rumah di Tepi Kanal (By The Pricking of My Thumbs),rumah-di-tepi-kanal-by-the-pricking-of-my-thumbs,Agatha Christie,Gramedia Pustaka Utama,9789792294316,Indonesia,312,0,3.76,4,19308,,novel
Sherlock Holmes Misteri Kacamata Berbingkai Emas,sherlock-holmes-misteri-kecamata-berbingkai-emas,Sir Arthur Conan Doyle,Penerbit Noktah,9786237465706,Indonesia,152,0,4.06,4,16,,novel
Partners in Crime (Pasangan Detektif),partners-in-crime-pasangan-detektif,Agatha Christie,Gramedia Pustaka Utama,9789792280029,Indonesia,312,0,3.78,4,17366,,novel
Aku Yang Tak Bernama di Hatimu,aku-yang-tak-bernama-di-hatimu,Egha Latoya,Gramedia Pustaka Utama,9786020385679,Indonesia,208,0,3.85,4,13,,novel
Manusia Bermiliar-Miliar Cuma Kamu Yang Bikin Ambyar,manusia-bermiliar-miliar-cuma-kamu-yang-bikin-ambyar,Alfin Rizal,Mediakita,9789797946166,Indonesia,104,0,3.67,4,3,,novel
Musuh Bebuyutan,musuh-bebuyutan,Gunawan Tri Atmodjo,Diva Press,9786232937284,Indonesia,126,0,3.0,3,1,1.0,novel
B,b,Sasti Gotama,Diva Press,9786232936270,Indonesia,180,0,3.86,4,7,,novel
Perburuan Piring Emas,perburuan-piring-emas,Jacques Futrelle,Laksana,9786233272315,Indonesia,172,0,3.44,3,111,,novel
BSD Metropop: Yes. I Do,bsd-metropop-yes-i-do,Shandy Tan,Gramedia Pustaka Utama,9786020337111,Indonesia,224,0,2.82,3,28,10.0,novel
Adam, Suatu Senja,adam-suatu-senja,Italo Calvino,Diva Press,9786023919079,Indonesia,152,0,3.63,4,1013,,novel
Gadis Minimarket (Convenience Store Woman),gadis-minimarket-convenience-store-woman,Murata Sayaka,Gramedia Pustaka Utama,9786020644394,Indonesia,160,0,3.71,4,178698,,
Ibu, Sedang Apa?,ibu-sedang-apa,Edi Ah Iyubenu,Diva Press,9786023919949,Indonesia,188,0,4.0,4,3,2.0,novel
Aku, Kopi, Dan Kamera,aku-kopi-dan-kamera,Ainun Nufus,Stiletto Book,9786023364343,Indonesia,165,0,4.18,4,11,,novel
Anomali Hati,anomali-hati-1,Lubis Grafura,Buku Mojok,9786021318676,Indonesia,175,0,3.75,4,71,,novel
Banana Choreo,banana-choreo,Sayyidatul Imamah,Laksana,9786024073497,Indonesia,248,0,3.0,3,2,,romance
Wesel Pos,wesel-pos,Ratih Kumala,Gramedia Pustaka Utama,9786020387116,Indonesia,120,0,3.64,4,507,,
Zadig,zadig,Voltaire,Divapress,9786023917235,Indonesia,156,0,3.72,4,2026,,novel
Kesempatan Kedua,kesempatan-kedua,Henny Simamora,Elefante,9786025276804,Indonesia,168,0,3.8,4,5,,novel
Elegi Sendok Garpu,elegi-sendok-garpu,Bagus Dwi Hananto,Buku Mojok,9786021318614,Indonesia,188,0,3.51,4,65,15.0,fiksi_sastra
Trauma,trauma,Boy Candra,Media Kita,9789797946159,Indonesia,148,0,3.76,4,45,17.0,
Akhir Yang Tidak Kuharap Selesai Dengan Membenci,akhir-yang-tidak-kuharap-selesai-dengan-membenci,Kiki Mulki Muchtar,Media Kita,9789797946210,Indonesia,144,0,4.2,4,5,,
BSD Cr Blush: Only The Brave Try Ballet,bsd-cr-blush-only-the-brave-try-ballet,Stefanie London,Elex Media Komputindo,9786020450421,Indonesia,228,0,3.64,4,152,,romance
EXO Salah Gaul 4,exo-salah-gaul-4,Evibow88,Suka Buku,9786026940506,Indonesia,240,0,4.34,4,29,,cerpen
Harlequin Koleksi Istimewa: Pengantin Keluarga Veranchetti (The Veranchetti Marriage),harlequin-koleksi-istimewa-pengantin-keluarga-veranchetti,Lynne Graham,Gramedia Pustaka Utama,9786020640471,Indonesia,248,1,3.67,4,1661,,romance
Harlequin Koleksi Istimewa: Ketika Cinta Bersemi (The Housekeeper's Awakening),harlequin-koleksi-istimewa-ketika-cinta-bersemi-the-housekeepers-awakening,Sharon Kendrick,Gramedia Pustaka Utama,9786020640068,Indonesia,240,1,3.36,3,377,,romance
Harlequin Koleksi Istimewa: Meluluhkan Hati Sang Taipan (The Virgin's Debt to Pay),harlequin-koleksi-istimewa-meluluhkan-hati-sang-taipan-the-virgins-debt-to-pay,Abby Green,Gramedia Pustaka Utama,9786020637341,Indonesia,248,1,3.68,4,293,,romance
Harlequin Koleksi istimewa: Rayuan Sang Playboy Yunani (Playing by the Greek's Rules),harlequin-koleksi-istimewa-rayuan-sang-playboy-yunani-playing-by-the-greeks-rules,Sarah Morgan,Gramedia Pustaka Utama,9786020639949,Indonesia,256,1,3.96,4,1175,,romance
Harlequin Koleksi Istimewa: Konflik Kepentingan (A Conflict of Interest),harlequin-koleksi-istimewa-konflik-kepentingan-a-conflict-of-interest,Barbara Dunlop,Gramedia Pustaka Utama,9786020315584,Indonesia,264,1,3.49,3,150,,novel,romance
Harlequin: Skandal Badai Salju - A Snowbound Scandal,harlequin-koleksi-istimewa-skandal-badai-salju-a-snowbound-scandal,Jessica Lemmon,Gramedia Pustaka Utama,9786020637976,Indonesia,272,1,3.84,4,293,,romance
Harlequin Koleksi Istimewa: Mengusir Sepi sang Miliuner (Lone Star Lover),harlequin-koleksi-istimewa-mengusir-sepi-sang-miliuner-lone-star-lover,Jessica Lemmon,Gramedia Pustaka Utama,9786020637730,Indonesia,256,1,4.13,4,276,,fiksi_ilmiah
Harlequin Koleksi Istimewa: Cinta Musim Dingin (A Christmas Proposition),harlequin-koleksi-istimewa-cinta-musim-dingin-a-christmas-proposition,Jessica Lemmon,Gramedia Pustaka Utama,9786020637693,Indonesia,256,1,4.06,4,240,,romance
Harlequin Koleksi Istimewa: Pangeran Harimau (Tiger Prince),harlequin-koleksi-istimewa-pangeran-harimau-tiger-prince,Sandra Brown,Gramedia Pustaka Utama,9786020636733,Indonesia,320,1,3.78,4,2618,,romance
Harlequin Koleksi Istimewa: Janji Hari Esok (Tomorrow's Promise),harlequin-koleksi-istimewa-janji-hari-esok-tomorrows-prom,Sandra Brown,Gramedia Pustaka Utama,9786020636726,Indonesia,320,1,3.75,4,3317,,romance
Harlequin Koleksi Istimewa: Perjanjian Rahasia (A Secret Splendor),harlequin-koleksi-istimewa-perjanjian-rahasia-a-secret-spl,Sandra Brown,Gramedia Pustaka Utama,9786020386539,Indonesia,320,1,3.71,4,2600,,romance
Harlequin Koleksi Istimewa: Terpukau (Spellbinding),harlequin-koleksi-istimewa-terpukau-spellbinding,Charlotte Lamb,Gramedia Pustaka Utama,9786020635668,Indonesia,272,1,3.38,3,211,,romance
Harlequin Koleksi Istimewa: Istri Sang Taipan Italia (Married for Italian's Heir),harlequin-koleksi-istimewa-istri-sang-taipan-italia-marrie,Rachel Thomas,Gramedia Pustaka Utama,9786020632766,Indonesia,248,1,3.36,3,245,,romance
Peony'S World,peonys-world-cover-baru,Kezia Evi Wiadji,Bhuana Ilmu Populer,9786232166455,Indonesia,236,1,3.83,4,18,,fiksi_ilmiah
Harlequin Koleksi Istimewa: Kontrak Cinta Sang Miliuner (A Bride at His Bidding),harlequin-koleksi-istimewa-kontrak-cinta-sang-miliuner-a-bride-at-his-bidding,Michelle Smart,Gramedia Pustaka Utama,9786020635040,Indonesia,256,1,3.72,4,224,,romance
Harlequin Koleksi Istimewa: Pelarian Cinta Sang Putri (Whisked Away by her Sicilian Boss),harlequin-koleksi-istimewa-pelarian-cinta-sang-putri-whisked-away-by-her-sicilian-boss,Rebecca Winters,Gramedia Pustaka Utama,9786020632445,Indonesia,232,1,3.55,4,22,,novel
Harlequin Koleksi Istimewa: Menanti Sang Mempelai (Bridal Bargain),harlequin-koleksi-istimewa-menanti-sang-mempelai-bridal-ba,Emma Darcy,Gramedia Pustaka Utama,9786020632216,Indonesia,332,1,3.45,3,164,,novel
Harlequin Koleksi Istimewa: Kekasih Sang Pengantin (Mistress of The Groom),harlequin-koleksi-istimewa-kekasih-sang-pengantin-mistress,Susan Napier,Gramedia Pustaka Utama,9786020631608,Indonesia,264,1,3.75,4,1052,,novel
Harlequin Koleksi Istimewa: Kekasih Sang Miliuner (Too Proud to be Bought),harlequin-koleksi-istimewa-kekasih-sang-miliuner-too-proud,Sharon Kendrick,Gramedia Pustaka Utama,9786020630724,Indonesia,240,0,3.45,3,450,,novel
Harlequin Koleksi Istimewa: Satu Malam di Madrid (A Spanish Awakening),harlequin-koleksi-istimewa-satu-malam-di-madrid-a-spanish,Kim Lawrence,Gramedia Pustaka Utama,9786020624273,Indonesia,256,0,3.39,3,347,,novel
Harlequin Koleksi Istimewa: Permohonan Rachel (Baby, Oh Baby!),harlequin-koleksi-istimewa-permohonan-rachel-baby-oh-baby,Teresa Soutwick,Gramedia Pustaka Utama,9786020629827,Indonesia,232,0,3.17,3,23,,
Harlequin Koleksi Istimewa: Sang Mempelai Spanyol (The Spanish Groom),harlequin-koleksi-istimewa-sang-mempelai-spanyol-the-spani,Lynne Graham,Gramedia Pustaka Utama,9786020628868,Indonesia,272,0,3.81,4,2332,,novel
Harlequin Koleksi Istimewa: Pengantin Sang Taipan (Married for the Tycoon's Empire),harlequin-koleksi-istimewa-pengantin-sang-taipan-married-f,Abby Green,Gramedia Pustaka Utama,9786020628561,Indonesia,256,1,3.74,4,269,,romance
Harlequin Koleksi Istimewa: Tergoda Miliuner Yunani (Tempted by Her Greek Tycoon),harlequin-koleksi-istimewa-tergoda-miliuner-yunani-tempted,Katrina Godmore,Gramedia Pustaka Utama,9786020628707,Indonesia,264,0,4.16,4,32,,novel
Harlequin Koleksi Istimewa: Misi Terakhir Sang Prajurit (The Last Mercenary),harlequin-koleksi-istimewa-misi-terakhir-sang-prajurit-the-last-mercenary,Diana Palmer,Gramedia Pustaka Utama,9786020623511,Indonesia,256,1,4.11,4,1499,,romance
Harlequin Koleksi Istimewa: Mempelai yang Hilang (Runaway Bride and the Billionaire),harlequin-koleksi-istimewa-mempelai-yang-hilang-runaway-bride-and-the-billionaire,Kate Hardy,Gramedia Pustaka Utama,9786020627816,Indonesia,240,1,3.76,4,25,,romance
Harlequin Koleksi Istimewa: Pangeran dan Pewaris (An Heiress on His Doorstep),pangeran-dan-pewaris-an-heiress-on-his-doorstep,Teresa Southwick,Gramedia Pustaka Utama,9786020627793,Indonesia,240,1,3.58,4,19,,romance
Harlequin Koleksi Istimewa: Pengantin untuk Sang Raja (A Christmas Bride for the King),harlequin-koleksi-istimewa-pengantin-untuk-sang-raja-a-christmas-bride-for-the-king,Abby Green,Gramedia Pustaka Utama,9786020622484,Indonesia,240,0,3.59,4,158,,novel
Harlequin Koleksi Istimewa: Ellie dan Taipan Yunani (Carrying the Greek's Heir),harlequin-koleksi-istimewa-ellie-dan-taipan-yunani-carrying-the-greeks-heir,Sharon Kendrick,Gramedia Pustaka Utama,9786020620220,Indonesia,208,1,3.48,3,968,,romance
Dua Garis Biru,dua-garis-biru,Lucia Priandarini,Gramedia Pustaka Utama,9786020631868,Indonesia,216,1,3.76,4,186,40.0,novel
Segala Yang Diisap Langit,segala-yang-diisap-langit,Pinto Anugerah,Bentang Pustaka,9786022918424,Indonesia,144,1,3.74,4,57,,fiksi_sejarah
Bts Susah Move On,bts-susah-move-on,Rahayu A.,Araska Publisher,9786237145806,Indonesia,280,1,5.0,5,1,,novel
Mozaik-Mozaik Terindah,mozaik-mozaik-terindah,Andrea Hirata,Bentang Pustaka,9786022916659,Indonesia,164,1,3.9,4,50,7.0,novel
Harlequin Koleksi Istimewa: Putri Pujaan Castiglione (Castiglione's Pregnant Princess),harlequin-koleksi-istimewa-putri-pujaan-castiglione-castig,Lynne Graham,Gramedia Pustaka Utama,9786020642475,Indonesia,208,1,3.72,4,402,,romance
Harlequin Koleksi Istimewa: Miliuner Dari Negeri Dongeng (His Cinderella's One Night Heir),harlequin-koleksi-istimewa-miliuner-dari-negeri-dongeng-hi,Lynne Graham,Gramedia Pustaka Utama,9786020642512,Indonesia,240,1,3.81,4,457,,romance
Harlequin Koleksi Istimewa: Cinta Yang Tak Terbeli Oleh Harta (Bought: Destitute Yet Defiant),harlequin-koleksi-istimewa-cinta-yang-tak-terbeli-oleh-hart,Sarah Morgan,Gramedia Pustaka Utama,9786020642383,Indonesia,258,1,3.51,4,1466,,romance
Harlequin Koleksi Istimewa: Kekasih Christakis (Reluctant Mistress Blackmailed Wife),harlequin-koleksi-istimewa-kekasih-christakis-reluctant-mi,Lynne Graham,Gramedia Pustaka Utama,9786020642284,Indonesia,232,1,3.7,4,1634,,romance
Harlequin Koleksi istimewa: Pernikahan Taipan Yunani (Married for the Greek's Convenience),harlequin-koleksi-istimewa-pernikahan-taipan-yunani-married-for-the-greeks-convenience,Michelle Smart,Gramedia Pustaka Utama,9786020639697,Indonesia,256,1,3.68,4,304,,romance
Harlequin Koleksi istimewa: Pengantin Pilihan Parisi (Blackmailed Bride, Inexperienced Wife),harlequin-koleksi-istimewa-pengantin-pilihan-parisi-blackmailed-bride-inexperienced-wife,Annie West,Gramedia Pustaka Utama,9786020637457,Indonesia,272,1,3.73,4,614,,romance
Harlequin Koleksi Istimewa: Penjaga Hati Miliuner Italia (The Italian's Christmas Housekeeper),harlequin-koleksi-istimewa-penjaga-hati-miliuner-italia-the-italians-christmas-housekeeper,Sharon Kendrick,Gramedia Pustaka Utama,9786020637624,Indonesia,224,1,3.6,4,254,,romance
Mata di Tanah Melus,mata-di-tanah-melus,Okky Puspa Madasari,Gramedia Pustaka Utama,9786020381329,Indonesia,192,0,3.78,4,368,107.0,novel
Harlequin Koleksi Istimewa: Ahli Waris Da Rocha (Da Rocha's Convenient Heir),harlequin-koleksi-istimewa-ahli-waris-da-rocha-da-rochas,Lynne Graham,Gramedia Pustaka Utama,9786020643984,Indonesia,232,1,3.68,4,511,,romance
Harlequin Koleksi istimewa: Kekasih Jutawan Brasil (The Brazilian Boss's Innocent Mistress),harlequin-koleksi-istimewa-kekasih-jutawan-brasil-the-brazilian-bosss-innocent-mistress,Sarah Morgan,Gramedia Pustaka Utama,9786020639772,Indonesia,256,1,3.52,4,437,,romance
Kartu-kartu di Meja (Cards on The Table),kartu-kartu-di-meja-cards-on-the-table-cover-baru,Agatha Christie,Gramedia Pustaka Utama,9789792271706,Indonesia,320,0,3.94,4,49587,,novel
Harlequin Koleksi Istimewa: Perseteruan Fiorukis (Sale or Return Bride),harlequin-koleksi-istimewa-perseteruan-fiorukis-sale-or-return-bride,Sarah Morgan,Gramedia Pustaka Utama,9786020633435,Indonesia,248,1,3.81,4,1780,,romance
Harlequin Koleksi Istimewa: Istana Rahasia Pangeran Italia (The Mysterious Italian Houseguest),harlequin-koleksi-istimewa-istana-rahasia-pangeran-italia-the-mysterious-italian-houseguest,Scarlet Wilson,Gramedia Pustaka Utama,9786020624235,Indonesia,264,1,4.0,4,31,,romance
Harlequin Koleksi Istimewa: Sang Prajurit Musim Dingin (Winter Soldier),harlequin-koleksi-istimewa-sang-prajurit-musim-dingin-winter-soldier,Diana Palmer,Gramedia Pustaka Utama,9789792231502,Indonesia,288,1,4.03,4,1634,,romance
Harlequin Koleksi Istimewa: Antara Cinta dan Benci (Bond of Hatred),harlequin-koleksi-istimewa-antara-cinta-dan-benci-bond-of-hatred,Lynne Graham,Gramedia Pustaka Utama,9786020623474,Indonesia,256,1,3.88,4,2690,,romance
Harlequin Koleksi Istimewa: Kembalinya Sang Duke Italia (Return of Her Italian Duke),harlequin-koleksi-istimewa-kembalinya-sang-duke-italia-return-of-her-italian-duke,Rebecca Winters,Gramedia Pustaka Utama,9786020622019,Indonesia,224,0,3.24,3,46,,novel
English Classics: The Master Of Ballantrae:  A Winter'S Tale,english-classics-the-master-of-ballantrae-a-winters-tale,Robert Louis Stevenson,Gramedia Pustaka Utama,9786020629209,Indonesia,336,1,3.72,4,5910,,novel
Di Tengah Kegelapan Inuvik, Kumpulan Cerpen,di-tengah-kegelapan-inuvik-kumpulan-cerpen,Sori Siregar,PBK,9786024126315,Indonesia,None,1,3.0,3,5,1.0,cerpen
Bukan Salah Hujan,bukan-salah-hujan,Ummuchan,Gramedia Widiasarana Indonesia,9786024526528,Indonesia,235,1,4.06,4,86,,novel
(Shira) Kupu-Kupu Bersayap Gelap,shira-kupu-kupu-bersayap-gelap,Puthut Ea,Shira Media,9786025868948,Indonesia,184,0,3.78,4,204,,novel
Harlequin Koleksi Istimewa: Lamaran tak Terduga (Marriage on the Rebound),harlequin-koleksi-istimewa-lamaran-tak-terduga-marriage-on-the-rebound,Michelle Reid,Gramedia Pustaka Utama,9786020638744,Indonesia,272,0,3.82,4,1582,,romance
